ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Results_Guess,Understanding,Strategies,Images
Response ID,Recorded Date,Start Date,End Date,Finished,condition,What is your year of birth?,What is the highest level of school you have completed or the highest degree you have received?,What is your occupation?,What is your gender? - Selected Choice,Choose one or more races that you consider yourself to be: - Selected Choice,What do you think the study was about?,"What do you think the results would show, if you had to guess? Even if you're not sure, please try to answer.",Was there any part of this study that was difficult or hard to understand? What would have made those things clearer? Please be as specific as you can.,What strategies did you use to complete the tasks presented to you?,"Were the questions with images clear? How did you interpret them when you produced movements?
 

The images are below, for reference.
 

[Field-pictures]"
R_28NBrw98RDs3haw,2020-06-25 17:58:20,2020-06-25 15:42:02,2020-06-25 17:58:19,1,active - RS-1,1998,3,student,1,1,aoirafh;nvawiorgh;,!!!!!!,?????,dkfahweoti wbfajlwfknm;laeowjigruefjpqipw,CLEAR
R_ZDn1VuLBdFmjgIx,2020-07-20 17:04:34,2020-07-20 16:33:18,2020-07-20 17:04:34,1,active - RS-1,1998,5,N/A,1,4,,I think the results would show that my thoughts on what order the moves were in may not be accurate,"I do not think any part of the study was difficult to understand. I was slightly confused about the down time after each ~5 min video played before the screen changed as I was not sure if I was supposed to replay the video 3 times or if the screen would change on its own. Additionally, I am a slow turner so I may have missed the move that came after the full body move",I tried to perform the tasks that were displayed on the screen to see what move I believed would come next. I did not do this for the part asking if a particular sequence appeared in the video however.,"I thought they were clear
"
R_2Yu1it6t5FYb3m9,2020-07-15 22:18:33,2020-07-15 18:18:17,2020-07-15 18:18:25,0,active - RS-2,,,,,,,,,,
R_1Ii4mfRksVkixyW,2020-07-29 17:23:11,2020-07-29 16:54:59,2020-07-29 17:23:11,1,passive - RS-2,1999,3,Student,1,1,I know I already have more information than your other participants will because I'm in the BABY lab but... how people learn movement patterns :),"Probably people that had my condition (watching the video but not doing any of the movements along with the video) will not, on average, learn the movements very well. I think people who had some kind of practice protocol where they did the movements along with the video will remember more.","Nothing was very hard to understand, just... the video was very long and boring when you're watching it and not doing anything else along with it",It was really hard to stay focused but I just tried to mentally name every action the man in the video did,They're clear
R_XnNAe9tcCdwoHM5,2020-07-16 09:31:39,2020-07-16 09:04:30,2020-07-16 09:31:39,1,passive - RS-3,1986,6,grad student,1,1,event segmentation of physical movements and learning sequences based on being seated/standing,I'm really terrible at memorizing physical sequences,The abrupt cut to black between movements was distracting,at first I tried to mentally note the movement,yes
R_2zpPfsCIMEoNwjg,2020-06-26 19:06:22,2020-06-26 15:06:15,2020-06-26 15:06:16,0,passive - SLS-1,,,,,,,,,,
R_29hrlx0TPk5f0Hc,2020-07-16 10:11:31,2020-07-16 09:36:05,2020-07-16 10:11:30,1,active - SLS-1,2000,3,Student,1,1,How people learn sequences of movements. ,"Possibly making the video to be able to be watched in full screen mode would have been helpful for keeping my full attention. Also, it could be helpful to instruct participants to complete the study in a quiet space, alone, and/or with no distractions. ",I think the results would show I did not learn this sequence of movements very well. ,"Yes, the questions with the images were clear. ",I mirrored the video so that I could pick up on the sequence of motions. 
R_2CwFGXN6J5xUJbH,2020-07-20 12:13:59,2020-07-20 11:43:16,2020-07-20 12:13:59,1,passive - SLS-2,1992,6,Grad student,1,1,"Learning sequences of movements, embodied cognition",,"A couple different things:
- I would put on the first instructional page that the videos of movements won't be recorded - I think that would make people more likely to take the study. Also, on that first page, I would say that they need to have a clear space around their computer for doing standing movements
- I would put everything about dance training, outdoor activities, and sports on one page so that people can see all the options, particularly if you have write-in options
- When watching the 5 min videos, I'd put the instructions for what people should do while watching at the top of that page (e.g. stand still / sit) to remind them
- When watching the short clips (3 movement sequences), the time available to watch them frequently eclipsed before the videos were done loading, and the video played. I would cue the timer to start only once the ""play"" button was clicked, and the video terminated, especially given that people may have a range of internet available
- It might be good to specify if you want people to be standing or seated while answering your questions - a banner across the top would work there as well",Linking them together using real world scenarios or stories,"These were clear, but again, I think it would help to have a written reminder (or picture) of the tasks at the top while people watched the movies"
R_1QcPqGynzOLEdJH,2020-07-30 19:51:21,2020-07-30 19:22:56,2020-07-30 19:51:21,1,active - SLS-2,1997,5,,1,1,memory for sequences of movement,If formal training in sports/dance improves ability to recall and perform sequences of movement,,carefully watching the videos ,The images were clear and I interpreted as following movements as if I were looking in a mirror
R_2zG6uHLiY6LiFWx,2020-08-04 16:30:43,2020-08-04 16:05:30,2020-08-04 16:30:43,1,active - SLS-3,1989,6,Grad Student,2,6,"Statistical learning of movement sequences that manipulate the predictability of transitional probabilities from one movement to the other, and of certain ""phrases"" of movements that form with some movements but not with others.","People can pick up some reliable patterns in transitional probabilities of movement. Probably movement production has a more bimodal distribution of how sure people are in their answers (either very sure or not sure at all) than in comprehension, but not sure about that one. Felt like that anyway.","The patterns felt too sparse (or else i'm really bad at picking some of them up), so watching the videos felt a little confusing some times.","Predictive coding, basically.","Yes, but I never got the direction of the little spin right. I also feared all the time that I was going to miss the next movement in the screen. Might be a good idea to switch for something you can do while looking at the screen."
