ResponseId,Finished,Survey,Statistical Organization,Condition,T-1_Recognition,T-1_Likert,T-2_Recognition,T-2_Likert,T-3_Recognition,T-3_Likert,T-4_Recognition,T-4_Likert,UT-1_Recognition,UT-1_Likert,UT-2_Recognition,UT-2_Likert,UT-3_Recognition,UT-3_Likert,UT-4_Recognition,UT-4_Likert,T-1c_Likert,Correct_Mvt_T-1,T-2c_Likert,Correct_Mvt_T-2,T-3c_Likert,Correct_Mvt_T-3,T-4c_Likert,Correct_Mvt_T-4,Correct_Mvt_Scores
R_3g1TPcfJjkHUHxD,1,RS-1,0,0,2,6,2,2,2,5,2,3,1,4,1,3,1,4,2,5,3,2,3,2,3,2,3,1,7
R_1pldJdcEsu7L2J0,1,RS-1,0,0,2,2,1,1,2,2,1,2,2,1,1,3,2,2,2,2,2,2,3,1,3,1,1,1,5
R_1r8q2WcV20ldRRJ,1,RS-1,0,0,2,2,1,2,1,5,1,2,2,5,2,6,1,3,2,5,3,3,3,2,2,2,3,2,9
R_2CleyaFI8j68tvi,1,RS-1,0,0,1,6,2,3,2,5,1,4,2,5,2,5,1,4,2,5,2,2,3,2,2,1,3,1,6
R_9XYPYREeHHivfvH,1,RS-1,0,0,2,7,1,6,1,6,1,3,2,5,2,2,1,6,1,6,6,2,2,1,6,2,6,2,7
R_2v0xgravfprSyZI,1,RS-2,0,0,2,5,2,5,1,5,1,5,2,4,1,5,1,5,2,4,4,2,3,1,3,2,3,2,7
R_V1OHar3ORQoKTw5,1,RS-2,0,0,1,5,2,5,1,4,2,2,2,6,1,3,1,4,2,5,4,2,5,1,3,3,4,2,8
R_2S8JhegbZRWARIv,1,RS-2,0,0,1,3,2,1,2,6,2,2,1,5,2,5,1,3,2,3,5,2,1,2,1,2,3,2,8
R_2DYwc2acZoiKh3s,1,RS-2,0,0,2,3,2,3,2,3,1,4,1,5,2,2,2,3,1,5,3,2,3,2,4,2,4,1,7
R_3Pvj8Q6KKvHXX4l,1,RS-3,0,0,1,2,1,5,1,1,1,1,2,1,2,1,2,2,2,3,2,2,4,1,3,2,1,1,6
R_3ekk2Bu9KoVEJPb,1,RS-3,0,0,2,3,1,4,2,6,1,3,1,6,1,7,1,5,2,5,3,2,4,1,5,2,2,2,7
R_1nZvHT20QlYVl4Q,1,RS-3,0,0,1,3,2,6,1,3,1,5,1,6,2,4,1,4,2,5,6,1,7,1,4,1,2,2,5
R_1EjsU2bOILm1E5T,1,RS-3,0,0,2,5,2,5,1,6,1,2,1,3,2,5,1,7,2,5,5,2,5,1,3,2,6,1,6
R_3DbaNhhBNLLYEWM,0,RS-1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1omYuTMtnUnuTaq,0,RS-1,0,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,,,,,1,,,,0
R_21HZDFVEAo8wjmQ,1,RS-1,0,2,2,2,1,2,2,2,1,6,2,2,1,2,1,2,2,3,5,1,2,3,3,2,2,1,7
R_3PRL47a08LkcgCX,1,RS-1,0,2,2,6,2,7,1,5,1,3,2,3,1,7,2,5,1,4,7,2,6,1,3,2,6,1,6
R_1i86IcODbMOl1la,0,RS-2,0,2,1,5,2,6,2,2,2,5,2,3,1,2,2,5,2,3,2,2,1,2,2,2,,,6
R_Tdx8sG0Howph5sd,1,RS-2,0,2,1,4,2,3,2,3,2,3,1,5,1,5,1,2,2,5,4,2,4,3,3,1,3,2,8
R_2dAVdU7Nms7nUmG,1,RS-2,0,2,2,5,1,6,2,4,1,5,1,5,1,6,1,3,2,5,3,1,4,1,5,2,5,1,5
R_2vjiW0FSngfhj5d,1,RS-2,0,2,2,4,1,5,2,3,1,5,1,5,1,6,2,5,1,3,4,2,3,1,3,1,3,2,6
R_T1Vt3EwMDgAgcMx,1,RS-3,0,2,1,3,2,5,2,6,2,3,2,5,1,5,1,3,1,5,3,2,2,2,2,2,5,2,8
R_3qVUxZ3dFnQgoGA,1,RS-3,0,2,1,5,1,4,2,3,1,4,2,4,2,3,2,6,1,4,5,1,6,1,4,1,5,2,5
R_2OIu1IVmxzZpS2V,1,RS-3,0,2,2,5,2,5,1,5,2,4,2,6,1,6,2,6,2,2,4,2,4,2,5,3,5,2,9
R_uqsAXYlwGWhSiHv,1,RS-3,0,2,2,3,2,4,1,4,1,4,1,3,2,3,2,3,2,4,2,2,3,2,4,2,2,2,8
R_1roUDxtrbunbHef,1,RS-3,0,2,2,3,1,2,1,3,1,3,2,6,2,2,1,4,1,3,3,2,2,2,3,2,3,2,8
