ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Dance_Details_1_1,Dance_Details_1_2,Dance_Details_1_4,Dance_Details_2_1,Dance_Details_2_2,Dance_Details_2_4,Dance_Details_3_1,Dance_Details_3_2,Dance_Details_3_4,Dance_Details_4_1,Dance_Details_4_2,Dance_Details_4_4,Dance_Details_5_1,Dance_Details_5_2,Dance_Details_5_4,Dance_Details_6_1,Dance_Details_6_2,Dance_Details_6_4,Dance_Details_7_1,Dance_Details_7_2,Dance_Details_7_4,Dance_Details_8_1,Dance_Details_8_2,Dance_Details_8_4,Dance_Details_9_1,Dance_Details_9_2,Dance_Details_9_4,Dance_Details_10_1,Dance_Details_10_2,Dance_Details_10_4,Dance_Details_11_1,Dance_Details_11_2,Dance_Details_11_4,Dance_Details_12_1,Dance_Details_12_2,Dance_Details_12_4,Dance_Details_13_1,Dance_Details_13_2,Dance_Details_13_4,Dance_Details_14_1,Dance_Details_14_2,Dance_Details_14_4,Dance_Details_15_1,Dance_Details_15_2,Dance_Details_15_4,Dance_Details_16_1,Dance_Details_16_2,Dance_Details_16_4,Dance_Details_17_1,Dance_Details_17_2,Dance_Details_17_4,Dance_Details_18_1,Dance_Details_18_2,Dance_Details_18_4,Dance_Details_19_1,Dance_Details_19_2,Dance_Details_19_4,Dance_Details_16_TEXT,Dance_Details_17_TEXT,Dance_Details_18_TEXT,Dance_Details_19_TEXT
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - I have received no formal dance training. - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - I have received no formal dance training. - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - I have received no formal dance training. - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballet - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballet - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballet - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballroom - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballroom - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballroom - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Belly Dancing - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Belly Dancing - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Belly Dancing - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Bhangra - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Bhangra - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Bhangra - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Folk - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Folk - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Folk - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Hip-hop - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Hip-hop - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Hip-hop - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Jazz - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Jazz - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Jazz - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Modern - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Modern - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Modern - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Pop - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Pop - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Pop - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Salsa - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Salsa - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Salsa - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Swing - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Swing - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Swing - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Square - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Square - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Square - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tango - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tango - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tango - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tap - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tap - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tap - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Click to write Scale Point 3","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".
In the second column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_x1_1""}","{""ImportId"":""QID20_x1_2""}","{""ImportId"":""QID20_x1_4""}","{""ImportId"":""QID20_x2_1""}","{""ImportId"":""QID20_x2_2""}","{""ImportId"":""QID20_x2_4""}","{""ImportId"":""QID20_x3_1""}","{""ImportId"":""QID20_x3_2""}","{""ImportId"":""QID20_x3_4""}","{""ImportId"":""QID20_x4_1""}","{""ImportId"":""QID20_x4_2""}","{""ImportId"":""QID20_x4_4""}","{""ImportId"":""QID20_x5_1""}","{""ImportId"":""QID20_x5_2""}","{""ImportId"":""QID20_x5_4""}","{""ImportId"":""QID20_x6_1""}","{""ImportId"":""QID20_x6_2""}","{""ImportId"":""QID20_x6_4""}","{""ImportId"":""QID20_x7_1""}","{""ImportId"":""QID20_x7_2""}","{""ImportId"":""QID20_x7_4""}","{""ImportId"":""QID20_x8_1""}","{""ImportId"":""QID20_x8_2""}","{""ImportId"":""QID20_x8_4""}","{""ImportId"":""QID20_x9_1""}","{""ImportId"":""QID20_x9_2""}","{""ImportId"":""QID20_x9_4""}","{""ImportId"":""QID20_x10_1""}","{""ImportId"":""QID20_x10_2""}","{""ImportId"":""QID20_x10_4""}","{""ImportId"":""QID20_x11_1""}","{""ImportId"":""QID20_x11_2""}","{""ImportId"":""QID20_x11_4""}","{""ImportId"":""QID20_x12_1""}","{""ImportId"":""QID20_x12_2""}","{""ImportId"":""QID20_x12_4""}","{""ImportId"":""QID20_x13_1""}","{""ImportId"":""QID20_x13_2""}","{""ImportId"":""QID20_x13_4""}","{""ImportId"":""QID20_x14_1""}","{""ImportId"":""QID20_x14_2""}","{""ImportId"":""QID20_x14_4""}","{""ImportId"":""QID20_x15_1""}","{""ImportId"":""QID20_x15_2""}","{""ImportId"":""QID20_x15_4""}","{""ImportId"":""QID20_x16_1""}","{""ImportId"":""QID20_x16_2""}","{""ImportId"":""QID20_x16_4""}","{""ImportId"":""QID20_x17_1""}","{""ImportId"":""QID20_x17_2""}","{""ImportId"":""QID20_x17_4""}","{""ImportId"":""QID20_x18_1""}","{""ImportId"":""QID20_x18_2""}","{""ImportId"":""QID20_x18_4""}","{""ImportId"":""QID20_x19_1""}","{""ImportId"":""QID20_x19_2""}","{""ImportId"":""QID20_x19_4""}","{""ImportId"":""QID20_x16_TEXT""}","{""ImportId"":""QID20_x17_TEXT""}","{""ImportId"":""QID20_x18_TEXT""}","{""ImportId"":""QID20_x19_TEXT""}"
R_2v0xgravfprSyZI,2020-11-18 14:54:10,2020-11-18 14:27:43,2020-11-18 14:54:10,1,action,"2,7,8,15",,,,1,16,0,,,,,,,,,,,,,5,10,1,5,10,1,,,,,,,,,,,,,,,,,,,2,16,0,,,,,,,,,,,,,,,,
R_t07N6Lfvw33eA8h,2020-11-19 13:09:58,2020-11-19 12:33:35,2020-11-19 13:09:58,1,stationary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1i86IcODbMOl1la,2020-11-22 01:54:04,2020-11-21 21:14:49,2020-11-21 21:53:51,0,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2bJWBEMPtSeRnLf,2020-11-23 08:48:07,2020-11-23 04:44:59,2020-11-23 04:48:01,0,stationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Tdx8sG0Howph5sd,2020-12-01 23:18:08,2020-12-01 22:54:09,2020-12-01 23:18:07,1,control,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_V1OHar3ORQoKTw5,2020-12-11 21:59:53,2020-12-11 21:34:37,2020-12-11 21:59:53,1,action,"7,8",,,,,,,,,,,,,,,,,,,4,4,3,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2S8JhegbZRWARIv,2020-12-12 11:27:00,2020-12-12 10:56:10,2020-12-12 11:27:00,1,action,"11,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,
R_2dAVdU7Nms7nUmG,2020-12-12 13:25:48,2020-12-12 13:00:56,2020-12-12 13:25:46,1,control,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
