ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Martial_Arts,Outdoor_Activities,Sports
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which martial arts have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which outdoor activities have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which sports have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23""}"
R_3fDWGTsvLeNd7QW,2020-11-13 14:33:09,2020-11-13 13:24:13,2020-11-13 14:33:08,1,control,"2,7",1,8,"3,17,25,26"
R_xFQyjJDDpTHWHx7,2020-11-19 10:15:10,2020-11-19 09:46:48,2020-11-19 10:15:09,1,action,1,10,1,"3,17,20"
R_2sXc8GNw7pxVp8Z,2020-11-21 11:00:50,2020-11-21 10:38:01,2020-11-21 11:00:50,1,stationary,1,1,1,"3,17,21"
R_a5EQ9M5ffYQuGjv,2020-11-22 01:53:29,2020-11-22 01:28:49,2020-11-22 01:53:29,1,action,1,1,6,1
R_1f8XUuPuAijfhk6,2020-11-24 16:02:29,2020-11-24 15:37:56,2020-11-24 16:02:29,1,stationary,"2,3,8,9",1,1,1
R_2CWGbaGbOXGwRYa,2020-12-05 22:32:02,2020-12-05 22:05:05,2020-12-05 22:32:01,1,control,1,"17,19",1,22
R_1LZLbngajm9nA2t,2020-12-06 20:27:49,2020-12-06 19:53:09,2020-12-06 20:27:48,1,stationary,"2,7",9,"6,7","20,21"
R_CjljhdowAYE5QQN,2020-12-09 17:18:24,2020-12-09 16:53:13,2020-12-09 17:18:24,1,action,"2,3,8,9,15",1,7,"4,12,20"
R_2wFg7Miy8OTjtaT,2020-12-12 23:25:41,2020-12-12 22:55:40,2020-12-12 23:25:41,1,action,2,1,"2,3,6",25
R_3Kvahc6B8d3OFpq,2020-12-13 20:30:33,2020-12-13 19:55:01,2020-12-13 20:30:32,1,control,2,1,7,10
R_ey5KBdRc5RLiFs5,2020-12-14 18:36:20,2020-12-14 18:10:11,2020-12-14 18:36:19,1,stationary,1,1,"2,6",6
R_1lmnsX6B7rrWarZ,2020-12-16 08:55:09,2020-12-16 08:24:46,2020-12-16 08:55:09,1,stationary,1,"3,4,13,14,17,19",1,1
