ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Results_Guess,Understanding,Strategies,Images
Response ID,Recorded Date,Start Date,End Date,Finished,condition,What is your year of birth?,What is the highest level of school you have completed or the highest degree you have received?,What is your occupation?,What is your gender? - Selected Choice,Choose one or more races that you consider yourself to be: - Selected Choice,What do you think the study was about?,"What do you think the results would show, if you had to guess? Even if you're not sure, please try to answer.",Was there any part of this study that was difficult or hard to understand? What would have made those things clearer? Please be as specific as you can.,What strategies did you use to complete the tasks presented to you?,"Were the questions with images clear? How did you interpret them when you produced movements?
 

The images are below, for reference.
 

[Field-pictures]"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47""}","{""ImportId"":""QID555_TEXT""}","{""ImportId"":""QID557_TEXT""}","{""ImportId"":""QID559_TEXT""}","{""ImportId"":""QID560_TEXT""}","{""ImportId"":""QID570_TEXT""}"
R_2ZBtzm0XhlTomfi,2020-11-17 18:55:28,2020-11-17 18:08:32,2020-11-17 18:55:27,1,control,2000,3,student,2,6,"memory ","How physical activities affect memory. ",no,"recall ",yes
R_s5cQxlD0Gsk77X3,2020-11-19 23:07:31,2020-11-19 22:38:37,2020-11-19 23:07:30,1,stationary,2002,3,student,1,6,How well our minds are able to remember movement sequences,Athletes (people with more formal training) remember movement sequences better than non-athletes.,no,I tried to complete the task to the best of my ability,yes
R_z20MsvOUuDVL82t,2020-11-30 17:23:07,2020-11-30 16:56:19,2020-11-30 17:23:07,1,action,2002,3,Student,2,1,"How well developed vestibulo/mechanical memory is developed across different backgrounds of people. ","I would guess that people with wealthier backgrounds (which would also probably correlate to more sports experience ) would lead to a more correct set of answers. Cross country runners probably do poorly. ","No. ","I tried to anticipate moves during the first three go-arounds of the video to spot patterns. ","Yes. "
R_9yiqiVBucOzthpn,2020-12-01 15:18:23,2020-12-01 14:39:02,2020-12-01 15:18:23,1,stationary,2001,2,Student,2,1,Coordination and memory association with movement.,That people who are trained dancers have better memory for movements and better recall of what they have seen.,Would've liked more warning about what I would be asked prior to watching the initial video. I was analyzing it for changes in the patterns instead of memorizing the patterns.,NA,Yes they are clear
R_3NIJpziW517QCZL,2020-12-03 11:12:01,2020-12-03 10:41:57,2020-12-03 11:12:01,1,action,2000,2,student,1,1,,,,tried to remember small pieces,yes
R_vYs6JfFPEMZX3kl,2020-12-03 14:36:26,2020-12-03 10:30:59,2020-12-03 10:36:16,0,action,,,,,,,,,,
R_1okg7WsO2yXS0S8,2020-12-08 00:06:03,2020-12-07 23:39:43,2020-12-08 00:06:03,1,stationary,2000,3,na,1,2,memory,what kind of learner you are,no,moving,
R_p3n0HMAnlWVmkbn,2020-12-10 17:04:57,2020-12-10 16:41:05,2020-12-10 17:04:56,1,control,2000,2,student,2,4,memory affected by physical movement,"fairly solid performance, athletic training helps movement memory (i have no idea)",I thought all was clear,muscle memory,yea
R_30ktXzc2zPOw4cC,2020-12-11 17:55:33,2020-12-11 17:29:08,2020-12-11 17:55:32,1,action,2001,3,student,1,1,no clue,"post experience and movement recognition ",no,repeating the movements,yes
R_2E0JLBoRCQIfKLU,2020-12-13 19:20:40,2020-12-13 18:49:44,2020-12-13 19:20:39,1,stationary,,2,student,1,4,"I think this study focused on the ability to remember and implement an unfamiliar set of movements. ","I think the results would show that most people can accurately mirror the movements depicted and predict what happens next. ",No,I removed all distractions such as my phone in order to successfully complete the tasks presented to me.,"The images were clear, and I used the instructions presented with the images to accurately interpret them."
R_3r0UScEoISswx1u,2020-12-15 12:17:41,2020-12-15 11:46:54,2020-12-15 12:17:40,1,control,1999,2,Student,2,1,Physical activity experience and relationship to coordination / muscle memory,"Exercise and movement is paired with muscle memory, more likely to remember coordinated movements.","Why I was being made to watch the 5 minute video multiple times, in different ways.","Attention to detail and high focus. ",They were very clear.
R_1pGvCqnx5M2GLyT,2020-12-16 09:44:45,2020-12-16 09:18:25,2020-12-16 09:44:45,1,action,2000,2,Student,1,4,Learning movement and seeing how memory works with movement,I think the results would show that common patterns are better memorized,The video buffered sometimes and moved on before I finished,Saying words in my head,"Yes, I just mirrored the screen"
R_3kjiJ0cYAtlKVsd,2020-12-16 16:20:51,2020-12-16 15:53:02,2020-12-16 16:20:50,1,stationary,1999,3,"student ",1,2,no idea,"how athletic i am at this point of my life and what my past has to do with it ","nothing ",n/a,clear
R_3il2hAL3YJMRHuj,2020-12-16 21:52:31,2020-12-16 21:26:59,2020-12-16 21:52:31,1,control,2002,3,student,1,6,I think the study was about confidece in remembering workouts or see hwo comfortable we are performing them,I think it wil show that I am underconfident in my abilit to remeber and executte,N/A,,I looked from left to right in terms of order
R_Y0lC2bURNKQ3rsl,2020-12-17 09:51:38,2020-12-17 09:25:35,2020-12-17 09:51:37,1,action,2000,3,Student,1,4,Correlation between experience and ability in motor coordination,More experience led to better/faster learning of motor coordination,,"I tried to find a pattern in the movements so I could remember the order, but they felt quite random exept for some pairs of movements that were always together.",clear.
