ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Martial_Arts,Outdoor_Activities,Sports
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which martial arts have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which outdoor activities have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which sports have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice"
R_28NBrw98RDs3haw,2020-06-25 17:58:20,2020-06-25 15:42:02,2020-06-25 17:58:19,1,active - RS-1,"5,9","4,14","2,3,5,6,7,8","10,12,17"
R_ZDn1VuLBdFmjgIx,2020-07-20 17:04:34,2020-07-20 16:33:18,2020-07-20 17:04:34,1,active - RS -1,16,17,1,20
R_2Yu1it6t5FYb3m9,2020-07-15 22:18:33,2020-07-15 18:18:17,2020-07-15 18:18:25,0,active - RS-2,,,,
R_1Ii4mfRksVkixyW,2020-07-29 17:23:11,2020-07-29 16:54:59,2020-07-29 17:23:11,1,passive - RS-2,"8,9,15",1,"2,6,7","6,22"
R_XnNAe9tcCdwoHM5,2020-07-16 09:31:39,2020-07-16 09:04:30,2020-07-16 09:31:39,1,passive - RS-3,12,1,"6,7",8
R_2zpPfsCIMEoNwjg,2020-06-26 19:06:22,2020-06-26 15:06:15,2020-06-26 15:06:16,0,active - SLS-1,,,,
R_29hrlx0TPk5f0Hc,2020-07-16 10:11:31,2020-07-16 09:36:05,2020-07-16 10:11:30,1,active - SLS-1,"2,7,8,9,15",1,1,17
R_2CwFGXN6J5xUJbH,2020-07-20 12:13:59,2020-07-20 11:43:16,2020-07-20 12:13:59,1,passive - SLS-2,1,1,8,1
R_1QcPqGynzOLEdJH,2020-07-30 19:51:21,2020-07-30 19:22:56,2020-07-30 19:51:21,1,active - SLS-2,1,1,1,1
R_2zG6uHLiY6LiFWx,2020-08-04 16:30:43,2020-08-04 16:05:30,2020-08-04 16:30:43,1,active - SLS-3,1,1,1,1
