ResponseId,RecordedDate,StartDate,EndDate,Finished,Survey,Statistical_Organization,Condition,Birth_Year,Education,Occupation,Gender,Race
R_1LZLbngajm9nA2t,06/12/2020 20:27,06/12/2020 19:53,06/12/2020 20:27,1,RS-1,0,0,1998,2,student,1,4
R_2a9NhpsBpqKBtzl,09/04/2021 16:59,09/04/2021 16:28,09/04/2021 16:59,1,RS-1,0,0,1998,3,Student,2,2
R_9XYPYREeHHivfvH,19/12/2020 16:56,19/12/2020 16:13,19/12/2020 16:56,1,RS-1,0,0,1998,5,student,1,4
R_1gtnRHluySObaEd,06/03/2021 20:20,06/03/2021 16:59,06/03/2021 20:20,1,RS-1,0,1,1999,2,Student,2,4
R_1r8q2WcV20ldRRJ,12/12/2020 20:38,12/12/2020 20:11,12/12/2020 20:38,1,RS-1,0,0,1999,3,student,1,1
R_3g1TPcfJjkHUHxD,11/11/2020 16:21,11/11/2020 15:51,11/11/2020 16:21,1,RS-1,0,0,1999,3,student,1,1
R_7OMvDnLUYAXcJ3P,23/02/2021 19:26,23/02/2021 18:57,23/02/2021 19:26,1,RS-1,0,2,1999,3,student,1,1
R_1dlRMVtlkOHFKUh,27/03/2021 20:10,27/03/2021 19:44,27/03/2021 20:10,1,RS-1,0,1,2000,3,,1,1
R_2CleyaFI8j68tvi,14/12/2020 21:33,14/12/2020 21:06,14/12/2020 21:33,1,RS-1,0,0,2000,2,Student,1,1
R_2D040LrzDnjnxX5,24/02/2021 23:34,24/02/2021 23:07,24/02/2021 23:34,1,RS-1,0,2,2000,2,Student,1,1
R_31GhOM0K5ZZiIOU,28/02/2021 15:10,28/02/2021 14:36,28/02/2021 15:10,1,RS-1,0,2,2000,3,Student ,1,4
R_3Hp2ipKsSiBvcoa,23/11/2020 20:35,23/11/2020 20:09,23/11/2020 20:35,1,RS-1,0,1,2000,2,Student,2,"6,1"
R_3PRL47a08LkcgCX,12/12/2020 21:50,12/12/2020 21:12,12/12/2020 21:50,1,RS-1,0,2,2000,3,Student,1,2
R_9Z6V2jy8zanjCet,23/02/2021 13:16,23/02/2021 12:46,23/02/2021 13:16,1,RS-1,0,1,2000,3,Student,2,1
R_OOSMzJUU74DkL2F,04/03/2021 18:42,04/03/2021 18:18,04/03/2021 18:42,1,RS-1,0,2,2000,3,student,1,"4,7"
R_yxNdeK7WQ6p9PcR,01/03/2021 9:44,01/03/2021 9:13,01/03/2021 9:44,1,RS-1,0,2,2000,3,unemployed,2,"4,6"
R_116qdOU3IK0Egpr,02/04/2021 13:13,02/04/2021 12:43,02/04/2021 13:13,1,RS-1,0,0,2001,2,Student ,1,"4,1"
R_1rPkNLCktfEXhR9,12/03/2021 18:58,12/03/2021 18:30,12/03/2021 18:58,1,RS-1,0,2,2001,3,Student,1,1
R_21HZDFVEAo8wjmQ,11/12/2020 9:36,11/12/2020 9:12,11/12/2020 9:36,1,RS-1,0,2,2001,2,N/A,1,4
R_301972JI9hxcbI2,21/03/2021 16:31,21/03/2021 15:58,21/03/2021 16:31,1,RS-1,0,1,2001,3,TA,2,"6,1"
R_3pr9FErKrYp8DJW,"Apr 12, 2021Ê9:05 AM","Apr 12, 2021Ê8:34 AM","Apr 12, 2021Ê9:05 AM",1,RS-1,0,2,2001,3,student,1,4
R_OjIL607w1KL8NLr,27/02/2021 19:11,27/02/2021 18:47,27/02/2021 19:11,1,RS-1,0,0,2001,3,Student,2,1
R_qXb6kFYFabudYuB,24/02/2021 15:57,24/02/2021 15:28,24/02/2021 15:57,1,RS-1,0,1,2001,2,College student,1,1
R_1pldJdcEsu7L2J0,21/11/2020 12:41,21/11/2020 12:17,21/11/2020 12:41,1,RS-1,0,0,2002,2,student,1,1
R_7TGS1WSDK2gtkWZ,26/02/2021 4:32,26/02/2021 4:00,26/02/2021 4:32,1,RS-1,0,1,2002,2,Student,1,4
R_2QSQMLCoqAbJ4Uy,19/12/2020 12:00,19/12/2020 11:30,19/12/2020 12:00,1,RS-1,0,1,2003,1,student,1,
