ResponseId,RecordedDate,StartDate,EndDate,Finished,Survey,Statistical_Organization,Condition,T-1_Recognition,T-1_Likert,T-2_Recognition,T-2_Likert,T-3_Recognition,T-3_Likert,T-4_Recognition,T-4_Likert,UT-1_Recognition,UT-1_Likert,UT-2_Recognition,UT-2_Likert,UT-3_Recognition,UT-3_Likert,UT-4_Recognition,UT-4_Likert,Familiar_Scores,Unfamiliar_Scores,Correct_Trigram_Scores,Familiar_Likert,Unfamiliar_Likert,Total_Likert,T-1c_Likert,Correct_Mvt_T-1,T-2c_Likert,Correct_Mvt_T-2,T-3c_Likert,Correct_Mvt_T-3,T-4c_Likert,Correct_Mvt_T-4,Correct_Mvt_Scores,Mvt_Likert,Mvt_Likert_Mean
R_0Bqz3ThCxA96a0F,13/03/2021 11:51,13/03/2021 11:25,13/03/2021 11:51,1,RS-1,0,0,1,4,0,5,0,3,1,3,1,5,1,3,0,5,1,5,2,3,5,15,18,33,3,0,3,2,3,0,3,0,2,12,3
R_116qdOU3IK0Egpr,02/04/2021 13:13,02/04/2021 12:43,02/04/2021 13:13,1,SLS-1,1,2,1,3,0,5,0,3,0,3,0,2,1,3,1,5,1,3,1,3,4,14,13,27,5,1,3,2,3,0,3,2,5,14,3.5
R_1CfMMUjm0Ry4mzm,19/11/2020 21:04,19/11/2020 20:36,19/11/2020 21:04,1,SLS-2,1,2,0,4,0,2,1,5,1,5,1,6,1,6,0,3,1,5,2,3,5,16,20,36,3,1,3,1,1,2,2,2,6,9,2.25
R_1CIrdZ9udnvy2Dm,13/12/2020 14:40,13/12/2020 14:12,13/12/2020 14:40,1,SLS-2,1,2,1,4,0,6,0,3,1,5,1,4,0,5,0,4,1,5,2,2,4,18,18,36,5,2,3,1,4,2,5,2,7,17,4.25
R_1d5XYx82RrqtMGa,08/03/2021 00:35,08/03/2021 00:05,08/03/2021 00:35,1,RS-1,0,1,1,3,1,3,1,5,1,7,0,4,1,4,0,5,1,6,4,2,6,18,19,37,2,2,2,2,1,0,5,2,6,10,2.5
R_1dlRMVtlkOHFKUh,27/03/2021 20:10,27/03/2021 19:44,27/03/2021 20:10,1,SLS-2,1,2,0,4,0,4,0,4,1,4,1,4,1,4,1,4,1,4,1,4,5,16,16,32,4,2,4,2,4,1,4,2,7,16,4
R_1E5Li6MeMODL34o,24/02/2021 15:15,24/02/2021 14:46,24/02/2021 15:15,1,SLS-3,1,1,0,4,0,5,1,2,0,2,0,3,1,3,0,2,1,6,1,2,3,13,14,27,5,2,3,0,3,1,2,0,3,13,3.25
R_1EjsU2bOILm1E5T,14/12/2020 13:57,14/12/2020 13:29,14/12/2020 13:57,1,RS-3,0,0,0,5,0,5,1,6,1,2,0,3,1,5,0,7,1,5,2,2,4,18,20,38,5,1,5,2,3,1,6,2,6,19,4.75
R_1EYuvfi1bmW6kQW,22/03/2021 01:22,22/03/2021 00:48,22/03/2021 01:22,1,SLS-3,1,2,0,3,0,3,1,3,0,3,1,3,0,3,1,3,0,3,1,2,3,12,12,24,4,0,2,1,3,2,2,2,5,11,2.75
R_1f8XUuPuAijfhk6,24/11/2020 16:02,24/11/2020 15:37,24/11/2020 16:02,1,SLS-1,1,1,0,5,1,7,1,4,0,5,1,7,0,4,1,7,1,6,2,3,5,21,24,45,4,2,6,2,5,1,4,1,6,19,4.75
R_1fftoTDPgXSVn7m,01/03/2021 19:59,01/03/2021 15:54,01/03/2021 15:59,0,RS-3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
