ResponseId,Finished,Survey,Statistical_Organization,condition,Dance_Experience_Scores,Martial_Arts_Experience_Scores,Outdoor_Experience_Scores,Sports_Experience_Scores,Experience_Total,T-1_Recognition,T-1_Likert,T-2_Recognition,T-2_Likert,T-3_Recognition,T-3_Likert,T-4_Recognition,T-4_Likert,UT-1_Recognition,UT-1_Likert,UT-2_Recognition,UT-2_Likert,UT-3_Recognition,UT-3_Likert,UT-4_Recognition,UT-4_Likert,Familiar_Scores,Unfamiliar_Scores,Correct_Trigram_Scores,Familiar_Likert,Unfamiliar_Likert,Total_Likert,T-1c_Likert,Correct_Mvt_T-1,T-2c_Likert,Correct_Mvt_T-2,T-3c_Likert,Correct_Mvt_T-3,T-4c_Likert,Correct_Mvt_T-4,Correct_Mvt_Scores,Mvt_Likert
R_3g1TPcfJjkHUHxD,1,RS-1,0,action,3,1,0,14,18,2,5,1,4,1,4,1,4,1,4,2,4,1,3,2,2,5,6,11,17,13,30,3,2,3,1,2,2,2,1,6,10
R_1g2zd7zZuVlr0Dq,1,RS-1,0,stationary,0,0,0,3,3,0,6,0,2,0,5,0,3,0,4,0,3,0,4,1,5,0,1,1,16,16,32,3,1,3,1,3,1,3,2,5,12
R_1pldJdcEsu7L2J0,1,RS-1,0,action,0,0,0,11,11,0,2,1,1,0,2,1,2,1,1,0,3,1,2,1,2,2,3,5,7,8,15,2,1,3,2,3,2,1,2,7,9
R_3Hp2ipKsSiBvcoa,1,RS-1,0,stationary,0,0,0,26,26,0,2,1,2,1,5,1,2,1,5,1,6,0,3,1,5,3,3,6,11,19,30,3,0,3,1,2,1,3,1,3,11
R_2CWDqbCF4i98RT1,1,RS-1,0,stationary,0.5,0,0,8,8.5,1,6,0,3,0,5,1,4,1,5,1,5,0,4,1,5,2,3,5,18,19,37,2,1,3,1,2,2,3,2,6,10
R_21HZDFVEAo8wjmQ,1,RS-1,0,control,0,4,0,7,11,0,7,1,6,1,6,1,3,1,5,1,2,0,6,0,6,3,2,5,22,19,41,6,1,2,2,6,1,6,1,5,20
R_1r8q2WcV20ldRRJ,1,RS-2,0,action,0,0,2,6,8,0,5,0,5,1,5,1,5,1,4,0,5,0,5,1,4,2,2,4,20,18,38,4,1,3,2,3,1,3,1,5,13
R_3PRL47a08LkcgCX,1,RS-2,0,control,0,0,0,6,6,1,5,0,5,1,4,0,2,1,6,0,3,0,4,1,5,2,2,4,16,18,34,4,1,5,2,3,0,4,1,4,16
R_2CleyaFI8j68tvi,1,RS-2,0,action,8,0,0,11,19,1,3,0,1,0,6,0,2,0,5,1,5,0,3,1,3,1,2,3,12,16,28,5,1,1,1,1,1,3,1,4,10
R_2QSQMLCoqAbJ4Uy,1,RS-2,0,stationary,0,6,0,10,16,0,3,0,3,0,3,1,4,0,5,1,2,1,3,0,5,1,2,3,13,15,28,3,1,3,1,4,1,4,2,5,14
R_9XYPYREeHHivfvH,1,RS-3,0,action,16,0,0,4,20,1,2,1,5,1,1,1,1,1,1,1,1,1,2,1,3,4,4,8,9,7,16,2,1,4,2,3,1,1,2,6,10
