ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Martial_Arts,Outdoor_Activities,Sports
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which martial arts have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which outdoor activities have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In which sports have you been formally trained?

We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID25""}","{""ImportId"":""QID23""}"
R_1gUsFdfe02quEcu,2020-11-15 16:19:51,2020-11-15 15:33:43,2020-11-15 16:19:50,1,stationary,16,1,1,17
R_T1Vt3EwMDgAgcMx,2020-11-18 15:35:16,2020-11-18 15:08:43,2020-11-18 15:35:16,1,control,2,17,1,21
R_3Pvj8Q6KKvHXX4l,2020-11-18 16:20:03,2020-11-18 15:45:36,2020-11-18 16:20:02,1,action,1,1,1,"10,25"
R_3qVUxZ3dFnQgoGA,2020-11-23 14:08:21,2020-11-23 13:45:52,2020-11-23 14:08:20,1,control,"2,8,15",1,1,25
R_3ekk2Bu9KoVEJPb,2020-11-24 17:57:07,2020-11-24 17:29:07,2020-11-24 17:57:06,1,action,1,1,1,"17,21"
R_DdvG8NXhELcphLP,2020-12-02 00:20:18,2020-12-01 23:55:40,2020-12-02 00:20:18,1,stationary,1,"1,17",1,1
R_1MVWY5oM3zBrCoA,2020-12-02 03:55:49,2020-12-01 23:52:33,2020-12-01 23:55:40,0,stationary,,,,
R_2OIu1IVmxzZpS2V,2020-12-09 17:20:44,2020-12-09 16:13:58,2020-12-09 17:20:43,1,control,1,1,1,"2,3,17,21,23"
R_1nZvHT20QlYVl4Q,2020-12-11 19:06:05,2020-12-11 18:40:46,2020-12-11 19:06:05,1,action,1,1,3,"20,21,24"
R_1EjsU2bOILm1E5T,2020-12-14 13:57:13,2020-12-14 13:29:19,2020-12-14 13:57:13,1,action,1,1,1,1
R_1opw5pnx0TGxOuo,2020-12-16 19:48:14,2020-12-16 15:46:50,2020-12-16 15:47:52,0,stationary,,,,
R_uqsAXYlwGWhSiHv,2020-12-17 10:32:34,2020-12-17 09:58:23,2020-12-17 10:32:34,1,control,16,17,1,1
R_1roUDxtrbunbHef,2020-12-20 20:28:27,2020-12-20 20:03:18,2020-12-20 20:28:26,1,control,"10,16",17,"2,4,5","3,20"
R_3g7TqAJCZNbZ8JI,2020-12-21 01:23:02,2020-12-20 21:04:58,2020-12-20 21:22:36,0,stationary,,,,
