ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,SLS-3_T-1_Recognitio,SLS-3_T-1_Likert_1,SLS-3_T-2_Recognitio,SLS-3_T-2_Likert_1,SLS-3_T-3_Recognitio,SLS-3_T-3_Likert_1,SLS-3_T-4_Recognitio,SLS-3_T-4_Likert_1,SLS-3_UT-1Recognitio,SLS-3_UT-1_Likert_1,SLS-3_UT-2Recognitio,SLS-3_UT-2_Likert_1,SLS-3_UT-3Recognitio,SLS-3_UT-3_Likert_1,SLS-3_UT-4Recognitio,SLS-3_UT-4_Likert_1,SLS-3_T-1c_Likert_1,CorrectMvt_SLS-3_T-1,SLS-3_T-2c_Likert_1,CorrectMvt_SLS-3_T-2,SLS-3_T-3c_Likert_1,CorrectMvt_SLS-3_T-3,SLS-3_T-4c_Likert_1,CorrectMvt_SLS-3_T-4
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID177""}","{""ImportId"":""QID401_1""}","{""ImportId"":""QID180""}","{""ImportId"":""QID402_1""}","{""ImportId"":""QID183""}","{""ImportId"":""QID403_1""}","{""ImportId"":""QID186""}","{""ImportId"":""QID404_1""}","{""ImportId"":""QID189""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID192""}","{""ImportId"":""QID406_1""}","{""ImportId"":""QID195""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID409_1""}","{""ImportId"":""QID306""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID499""}","{""ImportId"":""QID411_1""}","{""ImportId"":""QID500""}","{""ImportId"":""QID412_1""}","{""ImportId"":""QID501""}"
R_2ZBtzm0XhlTomfi,2020-11-17 18:55:28,2020-11-17 18:08:32,2020-11-17 18:55:27,1,control,1,5,2,7,2,6,2,6,1,7,1,3,2,5,1,5,6,3,6,1,3,2,5,1
R_s5cQxlD0Gsk77X3,2020-11-19 23:07:31,2020-11-19 22:38:37,2020-11-19 23:07:30,1,stationary,1,5,2,3,1,6,1,4,2,6,1,3,2,6,2,5,6,1,5,3,3,2,3,2
R_z20MsvOUuDVL82t,2020-11-30 17:23:07,2020-11-30 16:56:19,2020-11-30 17:23:07,1,action,1,7,2,3,1,4,2,5,2,3,2,4,1,5,2,5,5,2,3,2,3,2,3,3
R_9yiqiVBucOzthpn,2020-12-01 15:18:23,2020-12-01 14:39:02,2020-12-01 15:18:23,1,stationary,2,3,2,5,2,4,1,4,2,2,1,3,1,5,2,3,3,1,4,1,5,3,2,2
R_3NIJpziW517QCZL,2020-12-03 11:12:01,2020-12-03 10:41:57,2020-12-03 11:12:01,1,action,1,5,1,1,1,2,1,3,1,3,2,3,2,2,2,4,4,1,4,1,4,1,4,1
R_vYs6JfFPEMZX3kl,2020-12-03 14:36:26,2020-12-03 10:30:59,2020-12-03 10:36:16,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_1okg7WsO2yXS0S8,2020-12-08 00:06:03,2020-12-07 23:39:43,2020-12-08 00:06:03,1,stationary,2,5,2,4,2,4,1,4,2,4,2,4,2,4,1,4,4,1,4,2,4,1,4,1
R_p3n0HMAnlWVmkbn,2020-12-10 17:04:57,2020-12-10 16:41:05,2020-12-10 17:04:56,1,control,1,6,2,5,1,4,2,3,2,1,2,6,2,1,2,3,6,1,5,1,3,1,5,1
