ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Results_Guess,Understanding,Strategies,Images
Response ID,Recorded Date,Start Date,End Date,Finished,condition,What is your year of birth?,What is the highest level of school you have completed or the highest degree you have received?,What is your occupation?,What is your gender? - Selected Choice,Choose one or more races that you consider yourself to be: - Selected Choice,What do you think the study was about?,"What do you think the results would show, if you had to guess? Even if you're not sure, please try to answer.",Was there any part of this study that was difficult or hard to understand? What would have made those things clearer? Please be as specific as you can.,What strategies did you use to complete the tasks presented to you?,"Were the questions with images clear? How did you interpret them when you produced movements?
 

The images are below, for reference.
 

[Field-pictures]"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47""}","{""ImportId"":""QID555_TEXT""}","{""ImportId"":""QID557_TEXT""}","{""ImportId"":""QID559_TEXT""}","{""ImportId"":""QID560_TEXT""}","{""ImportId"":""QID570_TEXT""}"
R_3g1TPcfJjkHUHxD,2020-11-11 16:21:31,2020-11-11 15:51:43,2020-11-11 16:21:31,1,action,1999,3,student,1,1,Investigating intuitive patterns of movements,I think certain movements are expected to follow other movements like we would expect certain beats in a song to follow other meoldies,Very clear!,"Trying to remember what the sequence of movements felt like, especially whether the movement was lateral, twisting, or up/down",Clear!
R_3DbaNhhBNLLYEWM,2020-11-13 15:19:13,2020-11-13 11:01:46,2020-11-13 11:19:09,0,control,,,,,,,,,,
R_1g2zd7zZuVlr0Dq,2020-11-19 16:35:28,2020-11-19 15:46:14,2020-11-19 16:35:28,1,stationary,2001,2,Student,1,4,"How experience and practice in physical activity, especially sequence/order based physical activity affects someone’s ability to remember or better remember the order of movements","I think that the more training/practice should have in a sequence based physical activity (like dance or figure skating, where there is an order, not volleyball or something like that) would improve your ability to remember the order of movements.",No everything was clear!,I tried to imitate the movements in the sequence to try to remember what came after (although it didn’t work for me),The images were clear.
R_1pldJdcEsu7L2J0,2020-11-21 12:41:43,2020-11-21 12:17:32,2020-11-21 12:41:43,1,action,2002,2,student,1,1,how we learn patterns of movement,"if there are certain movements that are easier to remember, or how well we can remember the order of movements. Also if acting them out helps us remember. ",no,none,yes
R_3Hp2ipKsSiBvcoa,2020-11-23 20:35:34,2020-11-23 20:09:07,2020-11-23 20:35:33,1,stationary,2000,2,Student,2,"6,1",To test whether receiving formal training in physical activities (both in duration and how recent it was) has an effect on how well you can memorize and duplicate sequences of movements.,Longer duration and more recent formal training --> better memorization and duplication of movements,N/A,"I just tried to remember general patterns of movements, not specific sequences.",Yes
R_1omYuTMtnUnuTaq,2020-12-06 18:14:14,2020-12-06 13:55:13,2020-12-06 14:14:09,0,control,,,,,,,,,,
R_2CWDqbCF4i98RT1,2020-12-07 14:23:21,2020-12-07 13:57:32,2020-12-07 14:23:21,1,stationary,,2,,1,,Correlation between sports and martial arts training on movement observation/prediction/pattern forming,People with more sports/martial arts/dance training will remember movements and form patterns better,,,
R_21HZDFVEAo8wjmQ,2020-12-11 09:36:18,2020-12-11 09:12:05,2020-12-11 09:36:17,1,control,2001,2,N/A,1,4,Attention while performing a movement task,"Walking while watching the video increases memory for the movement ","No, the study was clear","I walked slowly so I wouldn't get tired ",I interpreted it as walking in place while watching the video
