ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Dance_Details_1_1,Dance_Details_1_2,Dance_Details_1_4,Dance_Details_2_1,Dance_Details_2_2,Dance_Details_2_4,Dance_Details_3_1,Dance_Details_3_2,Dance_Details_3_4,Dance_Details_4_1,Dance_Details_4_2,Dance_Details_4_4,Dance_Details_5_1,Dance_Details_5_2,Dance_Details_5_4,Dance_Details_6_1,Dance_Details_6_2,Dance_Details_6_4,Dance_Details_7_1,Dance_Details_7_2,Dance_Details_7_4,Dance_Details_8_1,Dance_Details_8_2,Dance_Details_8_4,Dance_Details_9_1,Dance_Details_9_2,Dance_Details_9_4,Dance_Details_10_1,Dance_Details_10_2,Dance_Details_10_4,Dance_Details_11_1,Dance_Details_11_2,Dance_Details_11_4,Dance_Details_12_1,Dance_Details_12_2,Dance_Details_12_4,Dance_Details_13_1,Dance_Details_13_2,Dance_Details_13_4,Dance_Details_14_1,Dance_Details_14_2,Dance_Details_14_4,Dance_Details_15_1,Dance_Details_15_2,Dance_Details_15_4,Dance_Details_16_1,Dance_Details_16_2,Dance_Details_16_4,Dance_Details_17_1,Dance_Details_17_2,Dance_Details_17_4,Dance_Details_18_1,Dance_Details_18_2,Dance_Details_18_4,Dance_Details_19_1,Dance_Details_19_2,Dance_Details_19_4,Dance_Details_16_TEXT,Dance_Details_17_TEXT,Dance_Details_18_TEXT,Dance_Details_19_TEXT,,Experience_Total
R_3g1TPcfJjkHUHxD,11/11/2020 16:21,11/11/2020 15:51,11/11/2020 16:21,1,action,2,,,,3,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
R_2z8trZuMtIgGLUg,12/11/2020 18:35,12/11/2020 18:06,12/11/2020 18:35,1,action,2,,,,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
R_3DbaNhhBNLLYEWM,13/11/2020 15:19,13/11/2020 11:01,13/11/2020 11:19,0,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
R_3fDWGTsvLeNd7QW,13/11/2020 14:33,13/11/2020 13:24,13/11/2020 14:33,1,control,"2,7",,,,3,5,2,,,,,,,,,,,,,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
R_2tMqFsArs7QaL6s,13/11/2020 14:39,13/11/2020 14:11,13/11/2020 14:39,1,stationary,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,3,,,,,,,,,,,,,,,1
R_1gUsFdfe02quEcu,15/11/2020 16:19,15/11/2020 15:33,15/11/2020 16:19,1,stationary,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,2,,,,,,,,,,,,,,,0.5
R_2ZBtzm0XhlTomfi,17/11/2020 18:55,17/11/2020 18:08,17/11/2020 18:55,1,control,"7,11,16",,,,,,,,,,,,,,,,,,,1,5,3,,,,,,,,,,20,1,6,,,,,,,,,,,,,20,1,5,,,,,,,,,,,,,,,41
R_2v0xgravfprSyZI,18/11/2020 14:54,18/11/2020 14:27,18/11/2020 14:54,1,action,"2,7,8,15",,,,1,16,0,,,,,,,,,,,,,5,10,1,5,10,1,,,,,,,,,,,,,,,,,,,2,16,0,,,,,,,,,,,,,,,,,,13
R_T1Vt3EwMDgAgcMx,18/11/2020 15:35,18/11/2020 15:08,18/11/2020 15:35,1,control,2,,,,3,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
R_3Pvj8Q6KKvHXX4l,18/11/2020 16:20,18/11/2020 15:45,18/11/2020 16:20,1,action,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
