ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,RS-3_T-1_Recognition,RS-3_T-1_Likert_1,RS-3_T-2_Recognition,RS-3_T-2_Likert_1,RS-3_T-3_Recognition,RS-3_T-3_Likert_1,RS-3_T-4_Recognition,RS-3_T-4_Likert_1,RS-3_UT-1Recognition,RS-3_UT-1_Likert_1,RS-3_UT-2Recognition,RS-3_UT-2_Likert_1,RS-3_UT-3Recognition,RS-3_UT-3_Likert_1,RS-3_UT-4Recognition,RS-3_UT-4_Likert_1,RS-3_T-1c_Likert_1,Correct_Mvt_RS-3_T-1,RS-3_T-2c_Likert_1,Correct_Mvt_RS-3_T-2,RS-3_T-3c_Likert_1,Correct_Mvt_RS-3_T-3,RS-3_T-4c_Likert_1,Correct_Mvt_RS-3_T-4
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID177""}","{""ImportId"":""QID401_1""}","{""ImportId"":""QID180""}","{""ImportId"":""QID402_1""}","{""ImportId"":""QID183""}","{""ImportId"":""QID403_1""}","{""ImportId"":""QID186""}","{""ImportId"":""QID404_1""}","{""ImportId"":""QID189""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID192""}","{""ImportId"":""QID406_1""}","{""ImportId"":""QID195""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID409_1""}","{""ImportId"":""QID306""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID499""}","{""ImportId"":""QID411_1""}","{""ImportId"":""QID500""}","{""ImportId"":""QID412_1""}","{""ImportId"":""QID501""}"
R_1gUsFdfe02quEcu,2020-11-15 16:19:51,2020-11-15 15:33:43,2020-11-15 16:19:50,1,stationary,2,3,1,7,2,2,2,5,2,4,1,6,1,6,1,4,3,2,5,1,3,2,5,2
R_T1Vt3EwMDgAgcMx,2020-11-18 15:35:16,2020-11-18 15:08:43,2020-11-18 15:35:16,1,control,1,3,2,5,2,6,2,3,2,5,1,5,1,3,1,5,3,2,2,2,2,2,5,2
R_3Pvj8Q6KKvHXX4l,2020-11-18 16:20:03,2020-11-18 15:45:36,2020-11-18 16:20:02,1,action,1,2,1,5,1,1,1,1,2,1,2,1,2,2,2,3,2,2,4,1,3,2,1,1
R_3qVUxZ3dFnQgoGA,2020-11-23 14:08:21,2020-11-23 13:45:52,2020-11-23 14:08:20,1,control,1,5,1,4,2,3,1,4,2,4,2,3,2,6,1,4,5,1,6,1,4,1,5,2
R_3ekk2Bu9KoVEJPb,2020-11-24 17:57:07,2020-11-24 17:29:07,2020-11-24 17:57:06,1,action,2,3,1,4,2,6,1,3,1,6,1,7,1,5,2,5,3,2,4,1,5,2,2,2
R_DdvG8NXhELcphLP,2020-12-02 00:20:18,2020-12-01 23:55:40,2020-12-02 00:20:18,1,stationary,2,3,2,5,2,5,2,2,1,5,1,4,2,4,1,4,3,1,4,1,5,1,4,2
R_1MVWY5oM3zBrCoA,2020-12-02 03:55:49,2020-12-01 23:52:33,2020-12-01 23:55:40,0,stationary,,,,,,,,,,,,,,,,,,,,,,,,
R_2OIu1IVmxzZpS2V,2020-12-09 17:20:44,2020-12-09 16:13:58,2020-12-09 17:20:43,1,control,2,5,2,5,1,5,2,4,2,6,1,6,2,6,2,2,4,2,4,2,5,3,5,2
