ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,SLS-1_T-1_Recognitio,SLS-1_T-1_Likert_1,SLS-1_T-2_Recognitio,SLS-1_T-2_Likert_1,SLS-1_T-3_Recognitio,SLS-1_T-3_Likert_1,SLS-1_T-4_Recognitio,SLS-1_T-4_Likert_1,SLS-1_UT-1Recognitio,SLS-1_UT-1_Likert_1,SLS-1_UT-2Recognitio,SLS-1_UT-2_Likert_1,SLS-1_UT-3Recognitio,SLS-1_UT-3_Likert_1,SLS-1_UT-4Recognitio,SLS-1_UT-4_Likert_1,SLS-1_T-1c_Likert_1,CorrectMvt_SLS-1_T-1,SLS-1_T-2c_Likert_1,CorrectMvt_SLS-1_T-2,SLS-1_T-3c_Likert_1,CorrectMvt_SLS-1_T-3,SLS-1_T-4c_Likert_1,CorrectMvt_SLS-1_T-4
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID177""}","{""ImportId"":""QID401_1""}","{""ImportId"":""QID180""}","{""ImportId"":""QID402_1""}","{""ImportId"":""QID183""}","{""ImportId"":""QID403_1""}","{""ImportId"":""QID186""}","{""ImportId"":""QID404_1""}","{""ImportId"":""QID189""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID192""}","{""ImportId"":""QID406_1""}","{""ImportId"":""QID195""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID409_1""}","{""ImportId"":""QID306""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID499""}","{""ImportId"":""QID411_1""}","{""ImportId"":""QID500""}","{""ImportId"":""QID412_1""}","{""ImportId"":""QID501""}"
R_3fDWGTsvLeNd7QW,2020-11-13 14:33:09,2020-11-13 13:24:13,2020-11-13 14:33:08,1,control,1,5,1,5,2,5,2,6,1,5,2,3,1,7,2,5,5,1,5,1,5,2,5,2
R_xFQyjJDDpTHWHx7,2020-11-19 10:15:10,2020-11-19 09:46:48,2020-11-19 10:15:09,1,action,1,3,2,1,2,1,1,2,2,3,2,1,2,5,1,2,3,1,2,1,2,2,2,2
R_2sXc8GNw7pxVp8Z,2020-11-21 11:00:50,2020-11-21 10:38:01,2020-11-21 11:00:50,1,stationary,1,4,1,5,1,5,2,3,1,3,2,5,2,3,1,3,5,1,4,1,4,2,3,2
R_a5EQ9M5ffYQuGjv,2020-11-22 01:53:29,2020-11-22 01:28:49,2020-11-22 01:53:29,1,action,1,7,1,7,1,7,1,7,2,7,2,7,2,7,2,7,7,1,7,1,7,2,7,1
R_1f8XUuPuAijfhk6,2020-11-24 16:02:29,2020-11-24 15:37:56,2020-11-24 16:02:29,1,stationary,2,5,1,7,1,4,2,5,2,7,1,4,2,7,2,6,4,1,6,1,5,2,4,2
R_2CWGbaGbOXGwRYa,2020-12-05 22:32:02,2020-12-05 22:05:05,2020-12-05 22:32:01,1,control,2,6,2,3,1,5,1,6,1,6,1,4,2,7,2,6,6,3,4,2,3,2,4,1
R_1LZLbngajm9nA2t,2020-12-06 20:27:49,2020-12-06 19:53:09,2020-12-06 20:27:48,1,stationary,1,7,1,7,1,5,2,5,2,7,2,7,2,7,2,3,7,1,5,1,5,1,5,2
R_CjljhdowAYE5QQN,2020-12-09 17:18:24,2020-12-09 16:53:13,2020-12-09 17:18:24,1,action,1,2,1,5,2,2,1,5,2,6,2,5,2,7,2,6,5,2,3,2,3,2,2,2
