ResponseId,RecordedDate,StartDate,EndDate,Survey,Finished,condition,RS-1_T-1_Recognition,RS-1_T-1_Likert_1,RS-1_T-2_Recognition,RS-1_T-2_Likert_1,RS-1_T-3_Recognition,RS-1_T-3_Likert_1,RS-1_T-4_Recognition,RS-1_T-4_Likert_1,RS-1_UT-1Recognition,RS-1_UT-1_Likert_1,RS-1_UT-2Recognition,RS-1_UT-2_Likert_1,RS-1_UT-3Recognition,RS-1_UT-3_Likert_1,RS-1_UT-4Recognition,RS-1_UT-4_Likert_1,RS-1_T-1c_Likert_1,Correct_Mvt_RS-1_T-1,RS-1_T-2c_Likert_1,Correct_Mvt_RS-1_T-2,RS-1_T-3c_Likert_1,Correct_Mvt_RS-1_T-3,RS-1_T-4c_Likert_1,Correct_Mvt_RS-1_T-4
Response ID,Recorded Date,Start Date,End Date,,Finished,condition,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",,"{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID177""}","{""ImportId"":""QID401_1""}","{""ImportId"":""QID180""}","{""ImportId"":""QID402_1""}","{""ImportId"":""QID183""}","{""ImportId"":""QID403_1""}","{""ImportId"":""QID186""}","{""ImportId"":""QID404_1""}","{""ImportId"":""QID189""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID192""}","{""ImportId"":""QID406_1""}","{""ImportId"":""QID195""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID409_1""}","{""ImportId"":""QID306""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID499""}","{""ImportId"":""QID411_1""}","{""ImportId"":""QID500""}","{""ImportId"":""QID412_1""}","{""ImportId"":""QID501""}"
R_2a9NhpsBpqKBtzl,09/04/2021 16:59,09/04/2021 16:28,09/04/2021 16:59,RS-1,1,action,1,3,1,2,2,2,1,5,1,3,2,2,2,5,1,3,3,2,3,2,3,2,3,2
R_301972JI9hxcbI2,21/03/2021 16:31,21/03/2021 15:58,21/03/2021 16:31,RS-1,1,stationary,1,2,1,3,1,3,2,2,1,3,1,3,2,3,2,5,6,2,5,2,3,2,1,2
R_0Bqz3ThCxA96a0F,13/03/2021 11:51,13/03/2021 11:25,13/03/2021 11:51,RS-1,1,action,1,4,2,5,2,3,1,3,2,5,2,3,1,5,2,5,3,2,3,1,3,2,3,2
R_1rPkNLCktfEXhR9,12/03/2021 18:58,12/03/2021 18:30,12/03/2021 18:58,RS-1,1,control,2,4,2,3,1,6,2,5,1,5,1,5,2,5,1,4,4,2,4,3,3,1,3,1
R_1d5XYx82RrqtMGa,08/03/2021 0:35,08/03/2021 0:05,08/03/2021 0:35,RS-1,1,stationary,1,3,1,3,1,5,1,7,1,4,2,4,1,5,2,6,2,1,2,1,1,2,5,1
R_OOSMzJUU74DkL2F,04/03/2021 18:42,04/03/2021 18:18,04/03/2021 18:42,RS-1,1,control,2,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,1,1
R_1QLTSqvciPHARmS,02/03/2021 0:45,01/03/2021 20:24,01/03/2021 20:45,RS-1,0,action,2,6,,,,,2,5,,,,,,,,,,,,,,,,
R_yxNdeK7WQ6p9PcR,01/03/2021 9:44,01/03/2021 9:13,01/03/2021 9:44,RS-1,1,control,1,6,2,3,1,6,2,6,1,6,2,3,1,3,2,5,5,3,5,3,5,2,5,2
