ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Birth_Year,Education,Occupation,Gender,Race,Exp_Guess,Understanding,Results_Guess,Images,Strategies
Response ID,Recorded Date,Start Date,End Date,Finished,condition,What is your year of birth?,What is the highest level of school you have completed or the highest degree you have received?,What is your occupation?,What is your gender? - Selected Choice,Choose one or more races that you consider yourself to be: - Selected Choice,What do you think the study was about?,Was there any part of this study that was difficult or hard to understand? What would have made those things clearer? Please be as specific as you can.,"What do you think the results would show, if you had to guess? Even if you're not sure, please try to answer.","Were the questions with images clear? How did you interpret them when you produced movements?
 

The images are below, for reference.
 

[Field-pictures]",What strategies did you use to complete the tasks presented to you?
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47""}","{""ImportId"":""QID555_TEXT""}","{""ImportId"":""QID559_TEXT""}","{""ImportId"":""QID557_TEXT""}","{""ImportId"":""QID570_TEXT""}","{""ImportId"":""QID560_TEXT""}"
R_3fDWGTsvLeNd7QW,2020-11-13 14:33:09,2020-11-13 13:24:13,2020-11-13 14:33:08,1,control,2001,3,Student and secretary,1,6,"N/a idk ",N/a,Memory and movement,Yes,Dance and soccer exercises
R_xFQyjJDDpTHWHx7,2020-11-19 10:15:10,2020-11-19 09:46:48,2020-11-19 10:15:09,1,action,2002,3,student,1,1,Maybe confidence about answering versus being correct or a correlation between movement training and memory for movement in order.,No,I guess that more training in a certain area of physical activity could mean more correct answers for order of movements,yes,
R_2sXc8GNw7pxVp8Z,2020-11-21 11:00:50,2020-11-21 10:38:01,2020-11-21 11:00:50,1,stationary,2000,2,student,1,1,Remembering movements when standing up vs sitting down,No,"It is easier to remember movement when you are standing up and being active ",Yes. This was trying to show that you should stand while watching the video.,Focusing really hard on the video
R_a5EQ9M5ffYQuGjv,2020-11-22 01:53:29,2020-11-22 01:28:49,2020-11-22 01:53:29,1,action,2000,2,Student,2,"2,6",Kind of fun. I thought of it as a memory game after I realized there was patterns.,No,I have no clue,Yes,None
R_1f8XUuPuAijfhk6,2020-11-24 16:02:29,2020-11-24 15:37:56,2020-11-24 16:02:29,1,stationary,2001,2,Student,1,4,How well you can remember movements while standing vs. sitting,Nope,"The more repetitive the movement order was shown, the more easily the participant could recall the order","Yes, they were clear. I knew to stand not sit",Identifying and remembering patterns I saw in the videos
R_2CWGbaGbOXGwRYa,2020-12-05 22:32:02,2020-12-05 22:05:05,2020-12-05 22:32:01,1,control,2000,2,Student,2,4,Experience and movement memory,Watching this repeated video 3 times is nerve-wrecking and painful. Please have some better video quality or find a hot model to do this,Whether physical training improves a person' ability to adapt to new physical routines,"There were clear, but the instructions weren't important",just try to let the body remember
R_1LZLbngajm9nA2t,2020-12-06 20:27:49,2020-12-06 19:53:09,2020-12-06 20:27:48,1,stationary,98,2,student,1,4,physical memory ability relating to how much the body has been trained,it was clear,poor physical memory,,just watching
R_CjljhdowAYE5QQN,2020-12-09 17:18:24,2020-12-09 16:53:13,2020-12-09 17:18:24,1,action,2001,3,Student,1,1,Muscle memory for athletes,No,Athletes/performers are more likely to recall movements in order.,They were very clear,Trying to name the steps so I could connect them to each other
R_2wFg7Miy8OTjtaT,2020-12-12 23:25:41,2020-12-12 22:55:40,2020-12-12 23:25:41,1,action,1999,2,student,1,4,"how past experiences in dance, etc affect the ability of our bodies to remember movements",No,"Past experiences/training would correlate positively with the ability to remember movements ","Yes, they are clear. It shows that I should mirror the movements ",patterns of why part of the body was used in sequential movements
R_3Kvahc6B8d3OFpq,2020-12-13 20:30:33,2020-12-13 19:55:01,2020-12-13 20:30:32,1,control,1999,3,student,1,1,How well people who have been formally trained in some sport/athletics can remember sequences of moves,I might have missed this but making sure that we would be tested on the sequences of moves and not just the moves themselves,Those who have formal training in a sport will have a better memory for sequences of activites.,Yes very,"I tried to remember if the every activity happened on the left side and then all the activites happened on the right side. Or if every other activity switched off sides
"
R_ey5KBdRc5RLiFs5,2020-12-14 18:36:20,2020-12-14 18:10:11,2020-12-14 18:36:19,1,stationary,2000,3,,1,"3,1",,all good!,i think they might show something about memory and how experience with sports/fitness is related to memory in movement,yes! very clear,I just tried to remember so cognitive i guess
R_1lmnsX6B7rrWarZ,2020-12-16 08:55:09,2020-12-16 08:24:46,2020-12-16 08:55:09,1,stationary,1999,2,student,1,6,whether having any type of formal training in a sport would lead you to recognize patterns and predict the next movement,"pretty clear, understood all","i believe that if you have any formal training in a sport that requires various movements that are generally the same thing like a dance sequence or punches/kicks, then you would be better at predicting what the next move in the sequence should be ",they were clear,imagined myself doing those same movements
